ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
6851,239.61,0.00057214,0.57627,1.9191,7.3024,6.0229,3.6441,0.53423,0.0004602
50813,11.646,0,0,0,0,0,0,0,0
50843,113.07,0.011622,0.28179,2.1071,6.5709,6.0791,4.0628,0.87955,0.0072089
44779,17.033,0,0,0,0,0,0,0,0
45937,79.24,0.00046001,0.74899,2.2612,7.1004,6.4881,2.9011,0.49915,0.00066783
46179,36.576,0,0,0,0,0,0,0,0
10159,1481.9,0.85396,0.89973,2.845,5.8105,5.0528,2.914,1.0107,0.61322
14151,582.98,0.015362,0.53033,2.7987,7.0994,6.1342,2.9528,0.45499,0.014303
32071,2475.5,0.054778,0.41531,2.6893,6.5617,6.1717,3.2309,0.80987,0.066568
48987,465.69,0.0066773,0.44607,2.8067,7.0546,5.9895,3.1338,0.55711,0.0054814
34779,217.93,0.00067721,0.44708,2.3977,6.4508,6.4145,3.5221,0.7667,0.00044571
49623,0,0,0,0,0,0,0,0,0
22021,163.03,0.0062087,0.0053783,2.9948,7.4349,5.8891,3.4003,0.26376,0.0055251
27513,972.94,0.0066251,0.48656,2.7852,7.0137,6.0516,3.0799,0.57076,0.0057007
12397,375.38,0.0065677,0.56191,2.4032,7.2203,5.9363,3.346,0.51982,0.0058702
42842,1917.6,0.0038065,0.40241,2.5662,6.8767,6.0887,3.3298,0.71463,0.017849
42908,1058.2,0.0007337,0.40904,2.5753,6.8715,5.9507,3.4921,0.70015,0.00045546
33855,2574.4,0.0029082,0.54879,3.1092,7.0281,5.9472,2.8778,0.48389,0.0019765
38723,1104.5,0.015405,0.55823,3.0313,7.1375,5.822,2.8858,0.53584,0.01386
38767,0,0,0,0,0,0,0,0,0
29572,1495.9,0.0065778,0.56375,3.015,7.0211,6.0496,2.8289,0.50928,0.0058186
35020,986.76,0.0065976,0.53382,2.9967,7.1577,5.9198,2.8142,0.56549,0.0056328
35042,1228.5,0.0026354,0.57986,2.6817,7.1556,5.9179,3.0505,0.60979,0.0019327
24887,1067.7,0.0066503,0.47193,2.6081,7.2275,5.9933,3.2073,0.47928,0.0058848
24918,340.45,0.00672,0.39021,2.4418,7.4926,6.0356,3.1913,0.43574,0.0059682
32329,1690.8,0.043263,0.55349,2.9312,7.0095,6.0192,2.7824,0.65887,0.0019965
18064,2663.9,0.0065972,0.53846,3.117,6.9215,6.0672,2.8267,0.51674,0.0057984
18122,1094.6,0.0027761,0.58953,2.7027,7.3576,6.0205,2.7855,0.53916,0.0021897
14467,124.84,0.0079255,1.3961,3.5898,7.1454,5.5635,1.8721,0.41202,0.013025
9749,1743.3,0.066601,0.86427,3.9517,6.5929,5.4388,2.6613,0.42386,0.00053701
25226,417.81,0.0038311,0.53223,2.39,6.4744,6.601,3.2364,0.75597,0.0061869
38277,299.93,0.0065964,0.56752,2.4232,7.2051,6.34,2.9671,0.48479,0.0056894
26377,911.61,0.0068282,0.61213,2.968,7.1688,5.7341,3.0643,0.43999,0.0059027
23214,1768.1,0.15613,0.77468,3.271,6.8084,5.3535,2.8839,0.66411,0.088206
51706,0,0,0,0,0,0,0,0,0
7204,1503.6,0.0068449,0.48756,2.9234,6.9974,5.8147,3.2323,0.53192,0.0057498
45164,359.26,0.0066398,0.46826,2.8764,7.0968,6.14,2.7369,0.66995,0.0051242
34860,530.39,0.015417,0.53659,2.9033,7.1194,5.8728,3.0745,0.46395,0.014087
40673,5.8786,0,0,0,0,0,0,0,0
12997,375.45,0.015575,0.62627,2.9938,6.6832,5.9325,3.1464,0.58831,0.013823
33911,424.32,0.1524,0.77433,3.2411,6.978,5.7858,2.3672,0.59172,0.10941
8162,4909.1,0.0029294,0.5982,2.8245,6.9098,6.0055,3.0606,0.54446,0.054015
30100,1145.2,0.0064844,0.66552,2.8711,6.9659,5.7695,3.0421,0.67412,0.0052612
13754,1634.4,0.17598,0.49657,2.3564,6.4055,5.9428,3.6319,0.82376,0.16705
4183,903.98,0.38567,0.65178,2.6082,6.6062,5.4965,3.1912,0.8132,0.24719
16842,237.69,0.0065764,0.54368,2.5343,7.0669,6.1315,3.0479,0.66391,0.005256
45142,6.7622,0,0,0,0,0,0,0,0
14212,2180.6,0.0065997,0.50443,2.805,7.1178,5.8482,3.1063,0.606,0.0057263
47081,39.511,0,0,0,0,0,0,0,0
22379,1274.7,0.052498,0.54848,2.7428,6.884,6.0903,3.1278,0.55163,0.002551
42344,150.23,0.01138,0.0097304,3.3331,7.1445,6.6151,2.8682,0.0069137,0.011029
40952,317.82,1.0841,1.0469,2.6617,5.761,4.6013,2.7734,1.2283,0.84334
13034,1048.6,0.0025788,0.64667,2.8743,6.771,5.8062,3.2147,0.68259,0.0019531
24888,250.6,0.011321,0.0099944,2.6835,7.5615,6.377,3.3391,0.0065913,0.010968
13943,799.34,0.0066442,0.48908,2.8258,7.3362,5.9232,2.9503,0.46294,0.005892
29509,177.11,0.014415,0.16017,2.3471,6.2364,6.6756,4.0833,0.46708,0.015902
14788,22.916,0,0,0,0,0,0,0,0
46336,35.22,0,0,0,0,0,0,0,0
32438,1197.8,0.002831,0.50582,2.8955,7.0652,5.9245,3.0532,0.55082,0.0020729
11870,2442.6,0.035579,0.52386,2.5212,6.993,5.863,3.3863,0.63592,0.041131
38788,0,0,0,0,0,0,0,0,0
10951,1707.8,0.0361,0.47508,2.9776,6.9491,5.9826,3.0769,0.46834,0.034256
35608,116,0.0065517,0.52693,2.2527,7.1508,5.8995,3.3457,0.81285,0.0049939
25818,1728,0.015382,0.55719,2.8523,7.0784,5.8974,2.9767,0.60898,0.013719
27385,63.823,0.00082598,0.72807,2.9231,6.6554,5.2897,2.8324,1.5702,0.00027178
21111,1426.2,0.15016,0.61893,2.8405,6.8167,5.9488,2.8689,0.58713,0.16899
31916,786.45,0.0066753,0.44674,2.8784,7.0429,6.1823,2.8921,0.54536,0.0055739
33447,1477.7,0.0022873,0.94506,4.1259,6.8114,5.4194,2.3853,0.30583,0.0048191
34826,764.69,0.006835,0.51615,2.9559,7.0501,5.81,3.1101,0.54525,0.0057006
10572,171.53,0.52386,1.0239,2.6124,6.5459,5.6758,2.9707,0.64546,0.001981
32796,742.88,0.11638,0.66453,2.9574,7.0257,5.7876,2.8143,0.55997,0.074133
31822,1483.1,0.0065046,0.6495,2.8447,7.0881,5.7564,3.0349,0.61441,0.0054616
16408,721.56,0.20468,0.64907,3.0324,6.5701,5.7899,2.989,0.59639,0.16847
16745,419.11,0.72454,1.0851,2.9927,5.6985,5.3384,3.2222,0.93831,0.00014617
32400,3145.4,0.0068363,0.5852,3.0185,6.9272,5.9221,3.0084,0.52625,0.0054471
7099,495.99,0.011479,0.0098464,3.124,7.19,5.9914,3.6548,0.0072565,0.011186
30977,1091.1,0.006831,0.56714,2.9494,7.0404,5.8347,3.0852,0.51059,0.0057183
50994,201.51,0.012006,0.27162,2.6771,7.0402,5.4222,3.7698,0.79853,0.0084898
6872,2656.8,0.59418,0.75901,2.6012,6.1895,5.3869,3.0045,0.94002,0.52463
20943,1061.9,0.0029363,0.42825,2.9039,7.1734,5.7182,3.2355,0.5357,0.002062
44357,34.412,0,0,0,0,0,0,0,0
51786,916.14,0.0028779,0.58271,3.1247,6.9646,5.8616,2.9313,0.53038,0.0018044
25057,1628.2,0.13838,0.8209,3.2793,6.8433,5.3266,2.8613,0.64232,0.087799
11224,108.49,0.0049548,0.4128,3.0669,6.3201,6.7511,3.4376,0.0017683,0.0048363
24264,97.881,0.00049481,0.00014937,2.0155,6.8447,6.2963,3.6541,1.1885,0.00022981
21877,722.34,0.0065118,0.61406,2.6385,6.7324,6.0024,3.3149,0.68592,0.0053713
12372,1643,0.0028646,0.47762,2.9213,7.1598,5.9182,3.0244,0.49357,0.0021754
8050,1113.7,0.050693,0.53426,3.1142,6.9069,5.8032,3.0383,0.55173,0.00068199
10712,365.79,0.0066586,0.44407,2.8612,7.0995,5.6975,3.2706,0.61494,0.0054891
8204,1295.5,0.00683,0.57617,2.8323,7.0356,5.9573,3.0546,0.53161,0.0055577
