ScanNo,SumSn,ratio_0,ratio_1,ratio_5,ratio_10,ratio_10,ratio_5,ratio_1,ratio_0
12449,617.9,0.89123,1.1483,2.6516,5.1026,4.8617,3.2768,1.1734,0.89446
12466,443.76,0.015515,0.53355,2.9541,7.2083,5.8786,2.9102,0.48526,0.014469
12469,285.73,0.0027046,0.46671,2.7721,7.1485,5.7197,3.2552,0.63317,0.001845
12477,207.71,0.19657,0.54723,3.0382,6.9102,5.4176,3.2295,0.66012,0.0006222
12478,508.19,0.0030866,0.59911,2.8634,6.8877,5.7771,3.0554,0.66141,0.15277
12483,8.7172,0,0,0,0,0,0,0,0
12515,528.58,0.015344,0.51669,2.7645,7.2063,6.0175,3.0228,0.44241,0.014418
12522,1111,3.1713,2.0131,2.5265,2.4268,2.4756,2.479,2.4265,2.4812
12523,240.62,0.00662,0.48744,3.2043,6.882,5.6809,3.1177,0.6155,0.0055773
12529,107.33,0.0091558,0.003797,2.1598,7.1246,6.8298,3.8571,0.0068044,0.009095
12564,961.42,0.081513,0.85301,3.8555,6.4926,5.3988,2.7951,0.52291,0.00058724
12565,960.2,0.25681,1.2021,3.7568,6.8006,4.8996,2.6729,0.40951,0.001705
12602,1910.2,0.071006,0.93527,3.6971,7.0038,5.3017,2.5355,0.45408,0.001633
12609,630.73,0.50311,1.0083,3.5748,6.514,4.9728,2.3635,0.71479,0.34868
12645,940.01,0.087619,0.62773,2.881,6.9992,6.023,2.8053,0.53568,0.040408
12651,291.75,0.0018485,1.1102,3.9001,6.6931,5.5439,2.7459,0.0013937,0.0035506
12687,843.04,0.035493,0.8781,3.764,7.0678,5.5853,2.3369,0.33191,0.00052298
12731,467.63,0.12504,0.39876,2.3415,6.721,6.0241,3.4959,0.78082,0.11291
12751,208.03,0.18524,0.56059,3.1964,6.9089,5.5751,2.9443,0.62763,0.0018545
12753,119.67,0.0060265,0.0044718,2.596,8.1286,5.8246,2.9944,0.44093,0.0050055
12843,573.27,0.011647,0.010997,3.1686,7.553,6.2619,2.9752,0.0072586,0.011422
12850,17.077,0,0,0,0,0,0,0,0
12914,326.57,0.0065369,0.58539,2.7799,7.502,5.8205,2.5764,0.7242,0.005035
12954,282.07,0.0062989,0.81739,2.944,6.7421,5.5021,3,0.98306,0.0050782
12981,82.411,0.010836,0.0089716,4.1917,6.6573,5.5736,3.5415,0.0057208,0.01047
13007,520.61,0.23976,0.64439,2.7543,6.9602,5.34,3.1669,0.6507,0.24377
13019,217.29,0.015438,0.53584,2.5286,6.8807,6.2089,3.3824,0.43402,0.014095
13027,516.41,0.002698,0.515,2.8372,7.1632,5.9066,3.0479,0.52532,0.0020639
13063,1552.8,0.024059,0.62631,3.1161,6.9005,6.0361,2.7149,0.55964,0.022373
13174,195.5,1.8581,1.2072,2.4313,4.1383,3.8431,3.4696,1.674,1.3783
